"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"4","Chebet, Evans","33","M","Kapsabet","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:40","0:44:45","1:00:03","1:03:26","1:15:27","1:31:00","1:46:31","2:00:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:51","2:06:51","1","1","1",""
"5","Cherono, Lawrence","33","M","Eldoret","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:40","0:44:45","1:00:02","1:03:27","1:15:28","1:31:00","1:46:33","2:00:44","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:52","2:07:21","2","2","2",""
"1","Kipruto, Benson","31","M","Kapsabet","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:39","0:44:45","1:00:02","1:03:26","1:15:28","1:30:59","1:46:33","2:00:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:52","2:07:27","3","3","3",""
"9","Geay, Gabriel","25","M","Tampa","FL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:40","0:44:44","1:00:03","1:03:26","1:15:27","1:31:00","1:46:31","2:00:59","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:53","2:07:53","4","4","4",""
"11","Kiptanui, Eric","31","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:40","0:44:44","1:00:03","1:03:26","1:15:28","1:30:59","1:46:36","2:01:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:55","2:08:47","5","5","5",""
"18","Korir, Albert","28","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:39","0:44:44","1:00:02","1:03:26","1:15:28","1:30:59","1:46:37","2:01:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:55","2:08:50","6","6","6",""
"19","Fauble, Scott","30","M","Flagstaff","AZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:54","0:45:17","1:01:00","1:04:26","1:16:32","1:31:48","1:47:07","2:02:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:55","2:08:52","7","7","7",""
"25","Yimer, Jemal","38","M","Addis Ababa","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:56","0:29:40","0:44:44","1:00:02","1:03:26","1:15:28","1:31:00","1:46:34","2:01:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:56","2:08:58","8","8","8",""
"28","Kibet, Elkanah","38","M","Colorado Springs","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:40","0:44:44","1:00:02","1:03:25","1:15:28","1:30:59","1:46:38","2:02:04","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:56","2:09:07","9","9","9",""
"57","Atanaw, Kinde","29","M","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:39","0:44:44","1:00:02","1:03:26","1:15:28","1:30:59","1:46:33","2:01:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:56","2:09:16","10","10","10",""
"7","Berhanu, Lemi","27","M","Addis Abeba","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:59","0:29:40","0:44:45","1:00:03","1:03:26","1:15:29","1:31:00","1:46:37","2:02:24","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:57","2:09:43","11","11","11",""
"14","Yegon, Bethwell","29","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:55","0:29:38","0:44:43","1:00:02","1:03:25","1:15:29","1:30:59","1:46:42","2:02:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:57","2:09:44","12","12","12",""
"29","Albertson, Cj","28","M","Fresno","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:55","0:29:39","0:44:43","1:00:01","1:03:24","1:15:25","1:30:59","1:46:46","2:03:01","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:59","2:10:23","13","13","13",""
"27","Mcdonald, Matthew","28","M","Cambridge","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:59","0:29:55","0:45:18","1:01:01","1:04:27","1:16:34","1:32:02","1:47:45","2:03:31","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:59","2:10:35","14","14","14",""
"21","Hofbauer, Trevor","30","M","Peachland","BC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:55","0:45:16","1:01:01","1:04:26","1:16:34","1:32:14","1:48:06","2:03:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:00","2:10:52","15","15","15",""
"32","Fischer, Reed","27","M","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","-","0:29:55","0:45:18","1:01:00","1:04:27","1:16:34","1:32:03","1:48:06","2:03:49","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:00","2:10:54","16","16","16",""
