bib,name,age,city,state,country,5k,10k,15k,20k,Half,25k,30k,35k,40k,pace,finish,pos_overall,pos_gender,pos_age_group,delta_finish,datetime_finish,all_format_finish,delta_finish_seconds,finish_minutes,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender,gender_F,gender_M,age_group,avg_pace_to_5k,avg_pace_to_10k,avg_pace_to_15k,avg_pace_to_20k,avg_pace_to_21.1k,avg_pace_to_25k,avg_pace_to_30k,avg_pace_to_35k,avg_pace_to_40k,avg_pace_to_42.2k,std_at_10k,std_at_15k,std_at_20k,std_at_21_1k,std_at_25k,std_at_30k,std_at_35k,std_at_40k,std_at_42_2k,mean_at_10k,mean_at_15k,mean_at_20k,mean_at_25k,mean_at_30k,mean_at_35k,mean_at_40k,mean_at_42_2k,perc_decay_5k_to_10k,perc_decay_10k_to_15k,perc_decay_15k_to_20k,perc_decay_20k_to_21_1k,perc_decay_21_1k_to_25k,perc_decay_25k_to_30k,perc_decay_30k_to_35k,perc_decay_35k_to_40k,perc_decay_40k_to_42_2k,delta_finish_minutes
117,"Ngugi, Mary",33,Nyahururu,KEN,,0:17:42,0:34:21,0:50:21,1:06:41,1:10:20,1:23:25,1:40:33,1:57:52,2:14:17,0:05:24,2:21:32,33.0,3.0,3.0,0 days 02:21:32,2023-11-21 02:21:32,1900-01-01 02:21:32,8492.0,141.53,17.7,34.35,50.35,66.68,70.33,83.42,100.55,117.87,134.28,female,1,0,1,16.95,17.47,17.87,18.0,18.0,17.98,17.9,17.82,17.87,17.89,0.37,0.46,0.47,0.45,0.42,0.39,0.37,0.34,0.33,17.21,17.43,17.57,17.71,17.74,17.75,17.76,17.77,3.06,2.33,0.68,0.02,-0.11,-0.44,-0.48,0.32,0.08,141.53333333333333
110,"Cheptoo, Viola",33,KEN,,,0:17:42,0:34:22,0:50:21,1:06:41,1:10:20,1:23:25,1:40:37,1:58:32,2:15:54,0:05:30,2:23:47,41.0,6.0,5.0,0 days 02:23:47,2023-11-21 02:23:47,1900-01-01 02:23:47,8627.0,143.78,17.7,34.37,50.35,66.68,70.33,83.42,100.62,118.53,135.9,female,1,0,1,16.95,17.46,17.87,18.0,18.0,17.98,17.89,17.72,17.66,17.61,0.36,0.46,0.47,0.45,0.43,0.39,0.37,0.34,0.33,17.2,17.43,17.57,17.71,17.74,17.73,17.73,17.71,3.0,2.39,0.68,0.02,-0.11,-0.51,-0.96,-0.32,-0.29,143.78333333333333
125,"Wetsch, Bria",33,Broomfield,CO,USA,0:17:42,0:34:40,0:52:00,1:09:50,1:13:45,1:27:36,1:46:11,2:04:54,2:23:03,0:05:45,2:30:42,146.0,15.0,13.0,0 days 02:30:42,2023-11-21 02:30:42,1900-01-01 02:30:42,9042.0,150.7,17.7,34.67,52.0,69.83,73.75,87.6,106.18,124.9,143.05,female,1,0,1,16.95,17.31,17.31,17.18,17.17,17.12,16.95,16.81,16.78,16.8,0.25,0.21,0.17,0.15,0.13,0.15,0.18,0.2,0.21,17.13,17.19,17.19,17.17,17.14,17.1,17.06,17.04,2.11,0.01,-0.71,-0.11,-0.25,-1.0,-0.82,-0.21,0.13,150.7
139,"Lavender, Alison",33,Sale,GBR,,0:17:43,0:35:40,0:54:08,1:12:53,1:17:01,1:31:54,1:52:53,2:13:47,2:34:17,0:06:14,2:43:17,697.0,39.0,35.0,0 days 02:43:17,2023-11-21 02:43:17,1900-01-01 02:43:17,9797.0,163.28,17.72,35.67,54.13,72.88,77.02,91.9,112.88,133.78,154.28,female,1,0,1,16.93,16.82,16.63,16.47,16.44,16.32,15.95,15.7,15.56,15.51,0.08,0.15,0.2,0.21,0.24,0.33,0.42,0.48,0.52,16.88,16.79,16.71,16.6,16.51,16.41,16.31,16.23,-0.64,-1.15,-0.97,-0.17,-0.7,-2.3,-1.56,-0.9,-0.33,163.28333333333333
1546,"Neubauer, Diane",33,Mtn Home Afb,ID,USA,0:18:58,0:37:46,0:56:30,1:15:16,1:19:20,1:34:13,1:54:15,2:15:11,2:35:26,0:06:16,2:44:05,753.0,42.0,38.0,0 days 02:44:05,2023-11-21 02:44:05,1900-01-01 02:44:05,9845.0,164.08,18.97,37.77,56.5,75.27,79.33,94.22,114.25,135.18,155.43,female,1,0,1,15.81,15.89,15.93,15.94,15.96,15.92,15.75,15.53,15.44,15.43,0.06,0.06,0.06,0.06,0.05,0.08,0.14,0.19,0.21,15.85,15.88,15.89,15.91,15.89,15.84,15.8,15.76,0.45,0.27,0.08,0.1,-0.24,-1.04,-1.4,-0.6,-0.07,164.08333333333334
7068,"Brash, Lucy",33,New York,NY,USA,0:20:02,0:40:02,1:00:13,1:20:28,1:24:53,1:40:35,2:01:06,2:21:58,2:43:07,0:06:36,2:52:53,1786.0,88.0,82.0,0 days 02:52:53,2023-11-21 02:52:53,1900-01-01 02:52:53,10373.0,172.88,20.03,40.03,60.22,80.47,84.88,100.58,121.1,141.97,163.12,female,1,0,1,14.98,14.99,14.95,14.91,14.92,14.91,14.86,14.79,14.71,14.64,0.01,0.02,0.04,0.04,0.04,0.05,0.07,0.09,0.12,14.98,14.97,14.96,14.94,14.93,14.91,14.89,14.87,0.07,-0.29,-0.22,0.02,-0.01,-0.33,-0.48,-0.53,-0.47,172.88333333333333
7039,"Stratton, Lauren",33,Provo,UT,USA,0:20:48,0:41:25,1:01:47,1:22:17,1:26:42,1:42:30,2:03:28,2:25:14,2:47:00,0:06:44,2:56:28,2408.0,145.0,132.0,0 days 02:56:28,2023-11-21 02:56:28,1900-01-01 02:56:28,10588.0,176.47,20.8,41.42,61.78,82.28,86.7,102.5,123.47,145.23,167.0,female,1,0,1,14.42,14.49,14.57,14.58,14.6,14.63,14.58,14.46,14.37,14.35,0.05,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.1,14.46,14.49,14.52,14.55,14.55,14.54,14.52,14.5,0.43,0.57,0.11,0.12,0.22,-0.38,-0.81,-0.61,-0.17,176.46666666666667
2778,"Chappell, Kelsi",33,Portsmouth,RI,USA,0:20:16,0:40:23,1:00:30,1:20:48,1:25:14,1:41:22,2:03:05,2:25:32,2:47:23,0:06:46,2:56:59,2519.0,157.0,141.0,0 days 02:56:59,2023-11-21 02:56:59,1900-01-01 02:56:59,10619.0,176.98,20.27,40.38,60.5,80.8,85.23,101.37,123.08,145.53,167.38,female,1,0,1,14.8,14.86,14.88,14.85,14.85,14.8,14.62,14.43,14.34,14.31,0.04,0.04,0.03,0.03,0.03,0.09,0.16,0.2,0.23,14.83,14.85,14.85,14.84,14.81,14.76,14.71,14.67,0.4,0.12,-0.17,0.02,-0.38,-1.17,-1.33,-0.63,-0.23,176.98333333333332
3546,"Angelo, Thia",33,San Jose,CA,USA,0:20:35,0:40:48,1:00:59,1:21:09,1:25:30,1:41:27,2:02:46,2:25:04,2:48:06,0:06:49,2:58:26,2874.0,188.0,166.0,0 days 02:58:26,2023-11-21 02:58:26,1900-01-01 02:58:26,10706.0,178.43,20.58,40.8,60.98,81.15,85.5,101.45,122.77,145.07,168.1,female,1,0,1,14.58,14.71,14.76,14.79,14.81,14.79,14.66,14.48,14.28,14.19,0.09,0.09,0.09,0.09,0.09,0.08,0.12,0.18,0.22,14.64,14.68,14.71,14.74,14.73,14.7,14.65,14.6,0.88,0.36,0.19,0.13,-0.14,-0.84,-1.27,-1.37,-0.62,178.43333333333334
4880,"Strum, Meaghan",33,Halifax,NS,CAN,0:21:01,0:42:04,1:03:07,1:24:14,1:28:53,1:45:18,2:06:52,2:28:38,2:49:38,0:06:49,2:58:42,2945.0,199.0,175.0,0 days 02:58:42,2023-11-21 02:58:42,1900-01-01 02:58:42,10722.0,178.7,21.02,42.07,63.12,84.23,88.88,105.3,126.87,148.63,169.63,female,1,0,1,14.27,14.26,14.26,14.25,14.24,14.25,14.19,14.13,14.15,14.17,0.01,0.01,0.01,0.01,0.01,0.03,0.05,0.05,0.05,14.26,14.26,14.26,14.26,14.25,14.23,14.22,14.22,-0.07,-0.02,-0.08,-0.02,0.01,-0.4,-0.41,0.14,0.13,178.7
