bib,name,age,city,state,country,5k,10k,15k,20k,Half,25k,30k,35k,40k,pace,finish,pos_overall,pos_gender,pos_age_group,delta_finish,datetime_finish,all_format_finish,delta_finish_seconds,finish_minutes,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender,gender_F,gender_M,age_group,avg_pace_to_5k,avg_pace_to_10k,avg_pace_to_15k,avg_pace_to_20k,avg_pace_to_21.1k,avg_pace_to_25k,avg_pace_to_30k,avg_pace_to_35k,avg_pace_to_40k,avg_pace_to_42.2k,std_at_10k,std_at_15k,std_at_20k,std_at_21_1k,std_at_25k,std_at_30k,std_at_35k,std_at_40k,std_at_42_2k,mean_at_10k,mean_at_15k,mean_at_20k,mean_at_25k,mean_at_30k,mean_at_35k,mean_at_40k,mean_at_42_2k,perc_decay_5k_to_10k,perc_decay_10k_to_15k,perc_decay_15k_to_20k,perc_decay_20k_to_21_1k,perc_decay_21_1k_to_25k,perc_decay_25k_to_30k,perc_decay_30k_to_35k,perc_decay_35k_to_40k,perc_decay_40k_to_42_2k,delta_finish_minutes
4,"Chebet, Evans",33,Kapsabet,KEN,,0:14:58,0:29:40,0:44:45,1:00:03,1:03:26,1:15:27,1:31:00,1:46:31,2:00:26,0:04:51,2:06:51,1.0,1.0,1.0,0 days 02:06:51,2023-11-21 02:06:51,1900-01-01 02:06:51,7611.0,126.85,14.97,29.67,44.75,60.05,63.43,75.45,91.0,106.52,120.43,male,0,1,1,20.04,20.22,20.11,19.98,19.96,19.88,19.78,19.71,19.93,19.96,0.13,0.09,0.1,0.11,0.12,0.15,0.17,0.16,0.15,20.13,20.12,20.09,20.03,20.0,19.96,19.96,19.96,0.91,-0.55,-0.64,-0.12,-0.39,-0.51,-0.33,1.09,0.15,126.85
5,"Cherono, Lawrence",33,Eldoret,KEN,,0:14:58,0:29:40,0:44:45,1:00:02,1:03:27,1:15:28,1:31:00,1:46:33,2:00:44,0:04:52,2:07:21,2.0,2.0,2.0,0 days 02:07:21,2023-11-21 02:07:21,1900-01-01 02:07:21,7641.0,127.35,14.97,29.67,44.75,60.03,63.45,75.47,91.0,106.55,120.73,male,0,1,1,20.04,20.22,20.11,19.99,19.95,19.88,19.78,19.71,19.88,19.88,0.13,0.09,0.1,0.11,0.12,0.15,0.17,0.16,0.15,20.13,20.12,20.09,20.03,20.0,19.96,19.95,19.94,0.91,-0.55,-0.61,-0.19,-0.39,-0.48,-0.36,0.86,0.0,127.35
30,"Hampton, Jonas",33,Newtonville,MA,USA,0:14:59,0:30:04,0:45:49,1:01:53,1:05:28,1:17:59,1:34:28,1:51:15,2:07:26,0:05:09,2:14:40,23.0,23.0,23.0,0 days 02:14:40,2023-11-21 02:14:40,1900-01-01 02:14:40,8080.0,134.67,14.98,30.07,45.82,61.88,65.47,77.98,94.47,111.25,127.43,male,0,1,1,20.03,19.95,19.64,19.39,19.34,19.24,19.05,18.88,18.83,18.8,0.06,0.21,0.29,0.31,0.33,0.37,0.41,0.43,0.45,19.99,19.87,19.75,19.6,19.52,19.44,19.37,19.32,-0.37,-1.56,-1.27,-0.29,-0.52,-0.95,-0.93,-0.23,-0.18,134.66666666666666
22,"Ward, Jared",33,Mapleton,UT,USA,0:14:58,0:29:55,0:45:17,1:01:00,1:04:26,1:16:34,1:32:38,1:49:50,2:07:41,0:05:10,2:15:24,26.0,26.0,26.0,0 days 02:15:24,2023-11-21 02:15:24,1900-01-01 02:15:24,8124.0,135.4,14.97,29.92,45.28,61.0,64.43,76.57,92.63,109.83,127.68,male,0,1,1,20.04,20.05,19.88,19.67,19.65,19.59,19.43,19.12,18.8,18.7,0.01,0.1,0.18,0.19,0.2,0.24,0.31,0.42,0.48,20.05,19.99,19.91,19.81,19.76,19.68,19.58,19.49,0.07,-0.88,-1.03,-0.12,-0.3,-0.81,-1.6,-1.69,-0.53,135.4
37,"Llano, Matthew",33,Flagstaff,AZ,USA,0:15:34,0:31:09,0:46:59,1:02:59,1:06:32,1:19:05,1:35:29,1:52:19,2:09:00,0:05:13,2:16:39,27.0,27.0,27.0,0 days 02:16:39,2023-11-21 02:16:39,1900-01-01 02:16:39,8199.0,136.65,15.57,31.15,46.98,62.98,66.53,79.08,95.48,112.32,129.0,male,0,1,1,19.27,19.26,19.16,19.05,19.03,18.97,18.85,18.7,18.6,18.53,0.01,0.06,0.1,0.11,0.13,0.15,0.2,0.23,0.26,19.26,19.23,19.18,19.12,19.08,19.04,18.99,18.94,-0.03,-0.54,-0.54,-0.13,-0.32,-0.61,-0.83,-0.49,-0.42,136.65
203,"Roeger, Michael",33,Bruce,AUS,Para T45-T46-0,0:15:51,0:32:09,0:48:49,1:05:26,1:09:07,1:22:22,1:40:03,1:58:41,2:17:34,0:05:34,2:25:42,58.0,49.0,48.0,0 days 02:25:42,2023-11-21 02:25:42,1900-01-01 02:25:42,8742.0,145.7,15.85,32.15,48.82,65.43,69.12,82.37,100.05,118.68,137.57,male,0,1,1,18.93,18.66,18.44,18.34,18.32,18.21,17.99,17.69,17.45,17.38,0.19,0.25,0.26,0.26,0.27,0.31,0.38,0.46,0.51,18.8,18.68,18.59,18.48,18.41,18.32,18.23,18.14,-1.4,-1.22,-0.51,-0.13,-0.58,-1.21,-1.65,-1.41,-0.4,145.7
452,"Zhou, Fan",33,Seattle,WA,USA,0:17:12,0:34:27,0:51:48,1:09:05,1:12:47,1:26:03,1:43:19,2:01:13,2:19:00,0:05:37,2:26:55,66.0,56.0,54.0,0 days 02:26:55,2023-11-21 02:26:55,1900-01-01 02:26:55,8815.0,146.92,17.2,34.45,51.8,69.08,72.78,86.05,103.32,121.22,139.0,male,0,1,1,17.44,17.42,17.37,17.37,17.39,17.43,17.42,17.32,17.27,17.23,0.01,0.04,0.04,0.03,0.03,0.03,0.04,0.06,0.07,17.43,17.41,17.4,17.4,17.41,17.4,17.38,17.37,-0.15,-0.24,-0.02,0.14,0.21,-0.06,-0.56,-0.33,-0.2,146.91666666666666
430,"Schroy, Brian",33,Boulder,CO,USA,0:17:04,0:34:13,0:51:23,1:08:42,1:12:27,1:25:45,1:43:31,2:01:46,2:19:54,0:05:40,2:28:28,95.0,83.0,77.0,0 days 02:28:28,2023-11-21 02:28:28,1900-01-01 02:28:28,8908.0,148.47,17.07,34.22,51.38,68.7,72.45,85.75,103.52,121.77,139.9,male,0,1,1,17.57,17.53,17.52,17.47,17.47,17.49,17.39,17.25,17.16,17.05,0.03,0.03,0.04,0.04,0.04,0.06,0.1,0.14,0.18,17.55,17.54,17.52,17.51,17.49,17.46,17.43,17.39,-0.23,-0.1,-0.28,0.04,0.11,-0.6,-0.82,-0.52,-0.6,148.46666666666667
533,"Morey, Tyler",33,Plymouth,MN,USA,0:17:25,0:34:40,0:51:54,1:09:09,1:12:53,1:26:17,1:43:39,2:01:39,2:20:05,0:05:40,2:28:30,96.0,84.0,78.0,0 days 02:28:30,2023-11-21 02:28:30,1900-01-01 02:28:30,8910.0,148.5,17.42,34.67,51.9,69.15,72.88,86.28,103.65,121.65,140.08,male,0,1,1,17.22,17.31,17.34,17.35,17.37,17.39,17.37,17.26,17.13,17.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.11,17.26,17.29,17.3,17.33,17.34,17.33,17.3,17.28,0.49,0.2,0.07,0.1,0.08,-0.11,-0.6,-0.75,-0.49,148.5
443,"Alexander, Daniel",33,Newcastle Upon Tyne,GBR,,0:16:15,0:33:07,0:50:20,1:07:53,1:11:41,1:25:20,1:43:26,2:02:06,2:20:39,0:05:41,2:28:39,99.0,87.0,81.0,0 days 02:28:39,2023-11-21 02:28:39,1900-01-01 02:28:39,8919.0,148.65,16.25,33.12,50.33,67.88,71.68,85.33,103.43,122.1,140.65,male,0,1,1,18.46,18.12,17.88,17.68,17.66,17.58,17.4,17.2,17.06,17.03,0.24,0.29,0.34,0.34,0.34,0.36,0.4,0.44,0.46,18.29,18.15,18.03,17.9,17.83,17.75,17.67,17.61,-1.87,-1.29,-1.14,-0.09,-0.47,-1.0,-1.17,-0.79,-0.19,148.65
