"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"7","Berhanu, Lemi","27","M","Addis Abeba","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:59","0:29:40","0:44:45","1:00:03","1:03:26","1:15:29","1:31:00","1:46:37","2:02:24","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:57","2:09:43","11","11","11",""
"20","Bennie, Colin","26","M","Princeton","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:54","0:45:18","1:01:00","1:04:26","1:16:34","1:32:02","1:47:48","2:04:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:03","2:12:08","19","19","19",""
"35","Butler, Ian","30","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:55","0:45:18","1:01:01","1:04:26","1:16:33","1:32:42","1:49:46","2:07:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:09","2:14:48","24","24","24",""
"466","Baum, Mitchell","28","M","Chicago","IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:00","0:34:03","0:51:06","1:08:03","1:11:42","1:24:33","1:41:50","1:59:43","2:17:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:32","2:25:00","51","44","43",""
"322","Burd, Ryan","25","M","Claremont","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:12","0:32:12","0:48:35","1:05:01","1:08:36","1:21:31","1:38:48","1:57:01","2:16:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:34","2:25:44","59","50","49",""
"289","Baden, Josh","32","M","Lawrence","KS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:01","0:32:15","0:48:38","1:05:24","1:09:09","1:22:39","1:40:45","1:59:40","2:19:06","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:38","2:27:31","74","64","61",""
"265","Bruce, Ben","39","M","Flagstaff","AZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:25","0:33:09","0:50:07","1:07:22","1:11:04","1:24:24","1:42:03","2:00:28","2:19:27","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:38","2:27:34","76","66","63",""
"339","Baljet, Niels","30","M","Rotterdam","NED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:33","0:33:30","0:50:28","1:07:21","1:10:58","1:24:23","1:42:27","2:01:17","2:19:38","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:38","2:27:40","77","67","64",""
"447","Blas, Wayne","44","M","Elizabethtown","KY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:36","0:35:15","0:53:00","1:10:46","1:14:39","1:28:27","1:46:22","2:04:20","2:22:05","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:43","2:29:48","119","106","10",""
"437","Baker, Nick","32","M","Westerville","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:32","0:35:19","0:53:04","1:11:01","1:14:57","1:28:48","1:46:47","2:04:58","2:22:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:21","134","120","110",""
"516","Burger, Karel","41","M","Mosselbay","RSA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:35","0:35:04","0:52:42","1:10:24","1:14:16","1:27:59","1:46:06","2:04:29","2:22:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:45","147","132","11",""
"562","Bianchini, Thiago","35","M","Woodstock","GA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:53","0:35:46","0:53:37","1:11:22","1:15:14","1:28:59","1:46:56","2:05:11","2:23:38","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:48","2:31:54","183","166","152",""
"307","Boumeester, Matthew","35","M","Saint Paul","MN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:10","0:34:31","0:51:54","1:09:11","1:12:57","1:26:35","1:44:48","2:03:41","2:23:27","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:15","192","175","161",""
"398","Bakke, Morten Urdal","32","M","Oslo","NOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:20","0:34:52","0:52:33","1:10:21","1:14:11","1:28:14","1:46:41","2:06:23","2:24:51","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:50","2:32:41","201","184","168",""
"845","Broadbent, Logan","34","M","Cleveland","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:18","0:35:24","0:53:48","1:12:18","1:16:18","1:30:29","1:48:55","2:07:27","2:25:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:50","2:32:55","206","189","173",""
"541","Barnes, Dan","31","M","Cambridge","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:30","0:35:15","0:52:57","1:10:46","1:14:39","1:28:37","1:47:00","2:05:53","2:24:42","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","2:33:00","209","192","176",""
"546","Besson, Thomas","30","M","Asnieres Sur Seine","FRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:27","0:34:52","0:52:29","1:10:00","1:13:46","1:27:33","1:46:12","2:05:26","2:24:28","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","2:33:03","210","193","177",""
"679","Burger, Garrett","32","M","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:57","0:35:58","0:54:01","1:12:11","1:16:10","1:30:22","1:48:28","2:06:58","2:25:06","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","2:33:07","212","195","179",""
"525","Barnes, Andrew","39","M","London","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:57","0:36:01","0:53:55","1:12:21","1:16:19","1:30:37","1:48:44","2:07:19","2:25:16","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","-","2:33:17","215","198",""
"474","Bushey, Scott","28","M","New Haven","CT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:57","0:34:14","0:51:37","1:09:14","1:13:05","1:27:04","1:45:37","2:05:04","2:24:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","2:33:19","216","199","183",""
"862","Bradnam, Jonathan","35","M","Welland","ON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:10","0:34:28","0:52:00","1:10:00","1:13:54","1:27:55","1:46:27","2:05:43","2:24:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:52","2:33:35","221","204","187",""
"935","Bund, Billy","27","M","Denver","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:46","0:36:55","0:55:17","1:13:34","1:17:35","1:31:44","1:49:54","2:07:51","2:25:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:53","2:34:00","231","214","197",""
"2276","Batty, Miles","34","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:29","0:36:33","0:54:47","1:13:01","1:16:50","1:30:46","1:49:07","2:07:41","2:26:16","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:55","2:34:50","247","230","212",""
"1311","Balaban, Brad","45","M","Waxhaw","NC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:56","0:35:52","0:53:54","1:12:03","1:16:02","1:30:15","1:48:59","2:08:07","2:27:04","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:21","269","249","2",""
"926","Brown, Conor","34","M","London","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IRL"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:03","0:35:59","0:54:15","1:12:38","1:16:35","1:30:49","1:49:46","2:08:56","2:27:43","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:57","2:35:57","291","271","248",""
"610","Bigos, Christopher","39","M","Pacific Palisades","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:24","0:36:58","0:55:27","1:14:08","1:18:10","1:32:45","1:51:51","2:10:29","2:28:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:59","2:36:41","318","297","269",""
"1042","Burke, Caleb","24","M","Verona","WI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:49","0:37:20","0:55:47","1:14:08","1:18:08","1:32:33","1:51:37","2:10:58","2:29:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:00","2:37:06","331","310","281",""
"1008","Baird, Jonathon","31","M","Paris","FRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
