"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"4","Chebet, Evans","33","M","Kapsabet","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:40","0:44:45","1:00:03","1:03:26","1:15:27","1:31:00","1:46:31","2:00:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:51","2:06:51","1","1","1",""
"5","Cherono, Lawrence","33","M","Eldoret","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:58","0:29:40","0:44:45","1:00:02","1:03:27","1:15:28","1:31:00","1:46:33","2:00:44","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:52","2:07:21","2","2","2",""
"634","Castronuovo, Vinny","22","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:36","0:35:11","0:52:45","1:10:17","1:14:07","1:27:34","1:44:54","2:02:29","2:19:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:39","2:27:47","80","70","67",""
"328","Cole, Ben","36","M","Swindon","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:43","0:35:29","0:53:13","1:10:54","1:14:44","1:28:20","1:46:04","2:03:46","2:20:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:40","2:28:22","92","80","74",""
"892","Colegrove, Devon","27","M","Loveland","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:40","0:34:59","0:52:14","1:09:38","1:13:17","1:26:26","1:43:45","2:01:54","2:21:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:43","2:29:46","117","104","96",""
"510","Cardamone, Nick","22","M","Ambler","PA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:35","0:35:06","0:52:41","1:10:14","1:14:03","1:27:44","1:45:41","2:04:05","2:22:24","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:44","2:30:18","132","118","108",""
"471","Chirico, Andrew","25","M","Hendersonville","TN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:30","0:34:57","0:52:35","1:10:18","1:14:10","1:27:55","1:45:58","2:04:05","-","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:21","133","119","109",""
"684","Craycraft, Harris","22","M","Milford","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:09","0:36:04","0:54:00","1:11:49","1:15:42","1:29:42","1:47:43","2:05:50","2:23:42","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:22","165","150","136",""
"446","Chu, Meng-Tsung","39","M","Colorado Springs","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:19","0:34:31","0:51:53","1:09:15","1:13:05","1:26:51","1:45:10","2:04:04","2:22:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:48","2:31:52","181","165","151",""
"747","Cousins, Tim","30","M","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:44","0:35:27","0:53:17","1:11:05","1:14:58","1:28:49","1:46:57","2:05:38","2:24:16","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:27","197","180","165",""
"483","Carey, Michael","25","M","Bothell","WA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:16","0:34:31","0:51:48","1:09:04","1:12:50","1:26:15","1:44:18","2:03:45","2:23:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:28","198","181","166",""
"514","Coffey, Peter","30","M","Chicago","IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:58","0:35:45","0:53:35","1:11:24","1:15:18","1:29:15","1:47:47","2:06:54","2:25:37","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:52","2:33:43","226","209","192",""
"345","Chase, Whitner","29","M","Windermere","FL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:45","0:35:50","0:54:01","1:12:03","1:15:57","1:30:00","1:48:16","2:06:59","2:25:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:53","2:34:06","234","217","200",""
"810","Cortes Galeana, José","38","M","Villa De Alvarez","MEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:22","0:34:46","0:52:29","1:10:33","1:14:22","1:28:20","1:47:02","2:06:30","2:26:06","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:55","2:34:42","244","227","209",""
"481","Collins, Liam","25","M","Austin","TX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:40","0:35:18","0:52:53","1:10:33","1:14:25","1:28:10","1:46:22","2:05:47","2:25:57","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:55","2:34:55","250","232","214",""
"582","Collins, Ryan","36","M","Portland","ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:53","0:35:44","0:53:38","1:11:30","1:15:24","1:29:34","1:48:01","2:07:09","2:26:24","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:55","2:34:58","252","234","216",""
