"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"25","Yimer, Jemal","38","M","Addis Ababa","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:56","0:29:40","0:44:44","1:00:02","1:03:26","1:15:28","1:31:00","1:46:34","2:01:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:56","2:08:58","8","8","8",""
"14","Yegon, Bethwell","29","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:55","0:29:38","0:44:43","1:00:02","1:03:25","1:15:29","1:30:59","1:46:42","2:02:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:57","2:09:44","12","12","12",""
"915","Yanek, Nicholas","21","M","Canton","GA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:15","0:34:59","0:52:25","1:10:22","1:14:10","1:27:49","1:45:27","2:02:55","2:21:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:21","163","148","134",""
"3056","Yangirov, Vadim","34","M","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:56","0:38:09","0:57:18","1:16:38","1:20:48","1:35:34","1:54:50","2:14:23","2:33:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:12","2:42:19","617","585","510",""
"1118","Yang, Shizhong","40","M","Syracuse","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:01","0:37:47","0:56:38","1:15:32","1:19:38","1:34:35","1:54:15","2:14:27","2:34:07","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:13","2:42:36","642","607","54",""
