"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"962","Solvold, Odd Ivar","52","M","Sandefjord","NOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:10","0:36:23","0:54:41","1:13:19","1:17:22","1:31:49","1:50:51","2:10:24","2:30:06","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:04","2:38:54","418","393","6",""
"2999","Sanz, Victor","51","M","Sc De Tenerife","ESP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:17","0:40:23","1:00:31","1:20:41","1:25:06","1:40:58","2:01:22","2:21:42","2:41:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:29","2:49:58","1392","1323","22",""
"5573","Shrum, Ryan","54","M","Chickamauga","GA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:47","0:41:20","1:01:42","1:21:59","1:26:24","1:41:55","2:02:03","2:22:23","2:42:51","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:33","2:51:44","1620","1535","30",""
"2308","Szalkai, Anders","52","M","Älta","SWE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:20","0:38:45","0:58:24","1:18:34","1:22:55","1:39:02","2:00:29","2:22:27","2:44:01","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:38","2:53:37","1902","1805","51",""
"4507","Stewart, Calum","51","M","Lauder","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:12","0:40:43","1:01:12","1:21:50","1:26:21","1:42:29","2:03:50","2:25:28","2:46:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:43","2:55:56","2301","2169","66",""
"3295","Spowart, Jonathan","50","M","Oakwood","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:34","0:40:59","1:01:28","1:22:17","1:26:48","1:43:10","2:04:28","2:26:07","2:47:06","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:44","2:56:14","2365","2225","68",""
"4843","Smart, Larry","52","M","Dunedin","FL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:52","0:41:20","1:01:51","1:22:41","1:27:05","1:43:24","2:04:28","2:25:46","2:47:51","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:47","2:57:37","2675","2504","81",""
"8368","Serra, Paul","50","M","Garnerville","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:44","0:41:51","1:02:59","1:23:57","1:28:33","1:44:54","2:06:08","2:27:30","2:48:37","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:48","2:58:01","2769","2590","85",""
"7317","Siscar Bay, Carlos","52","M","Pego","ESP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:08","0:42:19","1:03:32","1:24:57","1:29:31","1:45:55","2:07:22","2:28:44","2:49:58","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:51","2:59:11","3076","2863","105",""
"3495","Sarbadhikari, Pro","51","M","Toronto","ON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:43","0:41:31","1:02:21","1:23:30","1:28:01","1:44:27","2:06:09","2:28:33","2:50:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:52","2:59:54","3279","3049","114",""
"10561","Sacchini, Alberto","54","M","Parma","ITA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:24","0:44:03","1:05:48","1:27:22","1:32:00","1:48:31","2:09:43","2:30:46","2:50:59","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:52","2:59:55","3285","3055","115",""
