"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"127","Tabb, Elaina","30","F","PA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:39","0:52:00","1:09:50","1:13:45","1:27:37","1:46:03","2:04:42","2:23:10","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:34","175","16","14",""
"140","Tuxbury, Annmarie","28","F","Newport","RI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:03","0:36:01","0:54:04","1:12:43","1:16:51","1:31:33","1:50:56","2:10:23","2:29:50","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:03","2:38:15","381","23","20",""
"8089","Tully, Sarah","22","F","Cambridge","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:50","0:41:20","1:01:48","1:22:11","1:26:33","1:42:26","2:03:27","2:24:47","2:45:21","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:40","2:54:41","2103","114","107",""
"3774","Tilton, Lauren","40","F","Windham","NH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:38","0:41:14","1:01:50","1:22:23","1:26:49","1:42:54","2:03:55","2:25:25","2:46:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:43","2:55:59","2319","134","11",""
"7154","Tanner, Madison","28","F","San Diego","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:06","0:41:59","1:02:46","-","1:27:49","1:43:47","2:04:51","2:26:31","2:47:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:45","2:56:44","2463","151","136",""
"11053","Trachtenberg, Molly","35","F","Brookline","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:34","0:42:34","1:03:52","1:24:49","1:29:22","1:45:29","2:06:12","2:27:07","2:47:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:46","2:57:10","2560","165","146",""
"7272","Tang, Lingqiao","33","F","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:06","0:42:20","1:03:25","1:24:22","1:29:02","1:45:40","2:07:19","2:29:13","2:50:47","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:52","3:00:00","3304","233","202",""
"8149","Tarvin, Lauren","29","F","Canton","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:44","0:41:30","1:02:19","1:23:09","1:27:40","1:44:01","2:05:54","2:28:40","2:50:48","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:54","3:00:44","3429","248","214",""
"6949","Tonne, Alena","24","F","Chicago","IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:33","0:42:33","-","1:24:26","1:29:01","1:45:23","2:07:07","2:30:14","2:54:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:03","3:04:40","4147","349","293",""
"11242","Tremble, Alexa","25","F","Saint Paul","MN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:13","0:43:37","1:05:31","1:27:25","1:32:08","1:49:03","2:10:50","2:32:42","2:54:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:04","3:04:56","4192","358","301",""
"11027","Tadich, Katarina","35","F","Las Vegas","NV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:51","0:45:21","1:07:42","1:30:13","1:35:08","1:52:26","2:14:17","2:35:58","2:56:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:05","3:05:26","4278","375","313",""
"11895","Taylor, Monica","34","F","Victoria","BC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:54","0:43:11","1:04:44","1:26:38","1:31:22","1:48:43","2:11:12","2:34:00","2:56:12","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:06","3:05:57","4380","391","324",""
"17209","Tobin, Tina","32","F","Newburyport","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:28","0:43:54","1:05:53","1:27:49","1:32:37","1:49:40","2:12:15","2:35:03","2:57:23","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:08","3:06:39","4524","417","345",""
"9839","Teeuwen, R","42","F","Amsterdam","NED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:40","0:43:14","1:05:01","1:26:59","1:31:40","1:48:56","2:11:50","2:35:04","2:58:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:12","3:08:39","4928","486","52",""
"10057","Tucker, Brittney","37","F","Memphis","TN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:43","0:44:39","1:06:38","1:29:02","1:33:51","1:51:20","2:14:13","2:37:44","3:01:05","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:17","3:10:46","5414","583","474",""
"7119","Tramte, Petra","46","F","Škofja Loka","SLO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:46","0:43:46","1:05:36","1:27:53","1:32:41","1:50:26","2:14:04","2:37:57","3:01:02","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:17","3:10:55","5446","593","37",""
"11303","Tenberg, Amelia","31","F","Baltimore","MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:51","0:45:33","1:08:17","1:30:47","1:35:41","1:53:22","2:16:11","2:39:18","3:02:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:20","3:12:10","5720","668","534",""
"12754","Twining, Christine","46","F","Brunswick","ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:28","0:44:28","1:06:24","1:28:38","1:33:27","1:50:49","2:14:13","2:38:23","3:02:02","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:21","3:12:29","5794","688","45",""
"11755","Trulli, Cara","24","F","Freehold","NJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:30","0:43:11","1:05:05","1:27:30","1:32:27","1:50:19","2:14:00","2:38:29","3:02:25","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:22","3:12:50","5872","709","567",""
"10834","Tarbell, Elizabeth","27","F","Stanford","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:18","0:44:29","1:06:47","1:29:04","1:33:57","1:51:15","2:14:02","2:39:19","3:02:58","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:23","3:13:25","6011","758","600",""
"9658","Tissot, Nikita","30","F","Bruxelles","BEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:41","0:43:39","1:06:02","1:28:41","1:33:32","1:51:24","2:14:51","2:39:12","3:03:22","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:24","3:13:50","6115","783","616",""
"12572","Tovar Terrazas Tzic, Noemi","29","F","Pacoima","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:08","0:46:00","1:08:48","1:31:32","1:36:28","1:54:13","2:17:32","2:41:26","3:04:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:25","3:14:02","6157","795","624",""
"10793","Tropf, Hannah","29","F","Silver Spring","MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:08","0:44:09","1:06:35","1:29:11","1:34:12","1:51:56","2:15:11","2:39:18","3:03:40","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:25","3:14:14","6203","811","635",""
"19565","Theiller, Isabelle","50","F","Massy","FRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:27","0:46:26","1:09:08","1:31:58","1:36:54","1:54:48","2:18:26","2:41:59","3:04:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:26","3:14:35","6285","832","8",""
"11600","Tomes, Claire","39","F","London","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:57","0:45:35","1:08:17","1:31:34","1:36:29","1:54:32","2:18:19","2:42:25","3:05:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:29","3:15:58","6652","943","735",""
"15101","Todd, Claire","30","F","Brick","NJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:38","0:46:52","1:10:12","1:33:36","1:38:43","1:56:50","2:20:30","2:44:04","3:07:16","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:31","3:17:01","6925","1030","791",""
"13717","Trigg, Sarah","48","F","Ridgewood","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:37","0:47:01","1:10:13","1:33:44","1:38:45","1:56:45","2:20:21","2:43:44","3:06:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:32","3:17:20","7019","1067","76",""
"16377","Tanenbaum, Lauren","34","F","Greenwich","CT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:32","0:45:19","1:08:13","1:31:23","1:36:26","1:54:40","2:18:20","2:42:36","3:07:02","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:33","3:17:50","7152","1118","853",""
"11542","Tully, Emily","22","F","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:24","0:44:27","1:06:37","1:29:01","1:33:53","1:51:36","2:15:26","2:40:39","3:06:04","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:33","3:17:56","7175","1130","862",""
"10114","Tuchinda Peng, Lynn","46","F","Los Altos","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:30","0:44:55","1:07:23","1:30:22","1:35:18","1:53:17","2:17:17","2:42:22","3:07:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:33","3:17:56","7180","1132","80",""
"7345","Tower, Julie","37","F","Windsor","CT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:05","0:46:18","1:09:33","1:32:50","1:37:51","1:55:45","2:19:02","2:43:50","3:07:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:34","3:18:05","7207","1148","878",""
"11383","Taboada Silva Steinmetz, Thays","40","F","Parauapebas","BRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:44","0:45:10","1:07:46","1:31:06","1:36:06","1:54:25","2:18:52","2:44:09","3:08:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:36","3:19:01","7486","1233","177",""
"17717","Tsai, Han Chi","37","F","Taoyuan City","TWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:58","0:47:26","1:10:46","1:34:04","1:39:07","1:57:25","2:21:09","2:45:13","3:08:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:37","3:19:25","7601","1273","964",""
"13762","Thompson, Kathleen","33","F","Jersey City","NJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:33","0:46:54","1:10:09","1:33:34","1:38:36","1:56:37","2:20:22","2:45:04","3:09:31","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:37","3:19:38","7665","1297","984",""
"16686","Trang, Vu","42","F","San Carlos","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:38","0:47:04","1:10:36","1:33:59","1:39:04","1:57:23","2:21:27","2:45:37","3:09:07","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:37","3:19:41","7676","1300","188",""
"12303","Taft, Emily","31","F","Albany","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
