bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
11,31.0,14.3,28.88,43.95,59.02,62.33,74.08,89.38,0.0,0.0,0,0,0.0
23,31.0,15.17,30.88,46.6,62.65,66.17,0.0,0.0,0.0,0.0,0,0,0.0
268,36.0,16.25,32.3,48.52,65.13,68.75,0.0,0.0,0.0,0.0,0,0,0.0
102,31.0,17.8,34.77,50.78,67.77,71.5,84.67,101.82,118.6,134.73,1,0,141.83
121,30.0,17.8,34.77,51.08,67.77,71.5,84.65,0.0,0.0,0.0,0,0,0.0
444,30.0,16.68,33.4,50.08,66.88,70.5,83.63,100.72,0.0,0.0,0,0,0.0
120,29.0,17.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
325,26.0,17.55,35.17,52.85,70.75,74.58,88.53,106.82,124.6,141.27,0,1,148.42
489,25.0,17.02,34.02,51.28,68.65,72.43,0.0,0.0,0.0,0.0,0,0,0.0
3165,23.0,17.83,34.85,52.13,69.65,0.0,0.0,0.0,0.0,0.0,0,0,0.0
118,36.0,17.83,34.8,51.65,69.3,73.18,87.23,105.67,0.0,0.0,0,0,0.0
487,30.0,17.02,34.22,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
151,29.0,17.88,35.57,53.32,71.23,75.15,89.17,107.42,125.62,0.0,0,0,0.0
1332,25.0,16.85,33.55,50.7,68.65,72.63,87.1,105.6,0.0,0.0,0,0,0.0
408,29.0,16.9,33.97,51.47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
878,33.0,18.0,35.83,53.72,71.92,75.83,89.88,108.2,0.0,0.0,0,0,0.0
1298,32.0,18.0,35.8,53.93,72.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
445,35.0,17.95,36.17,54.82,73.33,77.35,91.7,109.97,128.28,146.02,0,1,153.7
451,33.0,18.05,36.1,54.27,72.5,76.42,0.0,0.0,0.0,0.0,0,0,0.0
861,27.0,17.3,34.62,52.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
149,27.0,18.28,36.42,54.73,73.13,77.12,91.5,110.07,128.73,0.0,0,0,0.0
503,38.0,18.78,37.07,55.4,73.77,77.72,91.82,110.22,128.73,146.57,0,1,154.82
508,35.0,18.22,36.42,54.7,73.12,77.1,91.35,0.0,0.0,0.0,0,0,0.0
280,32.0,17.6,35.18,52.85,70.68,74.58,88.57,107.2,127.43,147.27,0,1,155.82
526,30.0,18.53,36.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1166,29.0,18.72,37.33,55.92,74.78,78.92,93.47,111.85,0.0,0.0,0,0,0.0
1042,33.0,18.98,37.38,55.77,74.25,78.22,92.7,111.47,130.15,0.0,0,0,0.0
570,26.0,18.02,36.33,54.82,73.73,77.73,92.12,111.2,130.13,0.0,0,0,0.0
1091,36.0,18.18,35.75,53.47,71.75,75.75,90.25,109.47,128.97,0.0,0,0,0.0
853,36.0,18.38,36.63,54.85,73.15,77.13,91.52,110.27,129.38,148.48,0,1,157.13
359,35.0,18.27,36.6,55.02,74.0,78.03,92.77,112.7,131.77,150.03,0,1,157.85
994,32.0,18.27,36.73,55.38,74.2,78.22,92.7,111.62,130.78,149.7,0,1,157.9
467,37.0,17.88,35.9,54.12,72.42,76.4,90.82,0.0,0.0,0.0,0,0,0.0
1512,29.0,18.87,37.35,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
4449,28.0,19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
894,32.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1668,29.0,18.93,37.62,56.18,74.83,78.93,93.5,0.0,0.0,0.0,0,0,0.0
895,33.0,18.08,36.42,54.93,73.82,77.93,92.87,112.2,131.28,150.25,0,1,158.45
249,37.0,18.92,37.28,55.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
980,34.0,18.2,36.53,55.07,74.0,78.15,92.93,112.37,131.37,150.07,0,1,158.52
5540,26.0,18.83,37.27,55.92,75.03,79.1,93.92,112.83,131.73,150.6,0,1,158.6
2415,37.0,18.9,37.28,55.65,74.1,78.13,92.55,111.47,130.97,149.93,0,1,158.63
1660,36.0,19.03,37.88,56.83,75.7,79.75,94.28,113.13,132.25,150.9,0,1,158.83
667,20.0,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5956,32.0,19.3,37.92,56.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
812,36.0,18.02,35.77,53.47,71.67,75.62,89.82,109.25,129.47,150.22,0,1,159.55
747,39.0,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
284,32.0,16.72,33.47,50.15,66.93,70.57,83.73,0.0,0.0,0.0,0,0,0.0
2800,26.0,18.82,37.62,56.57,75.47,79.52,94.37,114.0,133.18,152.05,0,1,159.98
847,26.0,18.82,37.62,56.37,75.17,79.2,93.77,112.72,132.1,151.43,0,1,160.52
1563,38.0,19.38,38.2,57.03,75.93,80.05,94.87,114.2,133.73,152.47,0,1,160.65
1131,37.0,19.25,38.48,57.7,76.83,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3077,27.0,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1714,31.0,19.48,37.67,56.0,74.83,78.87,93.32,112.55,132.4,0.0,0,0,0.0
3314,39.0,19.63,38.85,57.95,76.98,81.08,96.0,0.0,0.0,0.0,0,0,0.0
4382,30.0,19.98,38.47,57.05,75.78,79.83,94.47,113.62,133.52,153.23,0,1,161.83
6072,34.0,20.1,38.98,57.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
933,35.0,18.6,37.1,55.9,75.15,79.37,94.62,114.6,134.78,0.0,0,0,0.0
2491,22.0,19.22,37.95,56.58,75.48,79.52,94.52,0.0,0.0,0.0,0,0,0.0
2058,39.0,19.78,38.7,57.67,76.83,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3536,36.0,19.95,38.9,57.95,77.03,81.12,96.03,115.52,0.0,0.0,0,0,0.0
2655,26.0,19.65,39.07,58.47,78.12,82.28,97.27,116.55,0.0,0.0,0,0,0.0
3809,24.0,19.9,39.35,58.82,78.08,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1909,39.0,18.75,37.18,55.97,75.18,79.33,94.52,114.23,134.28,154.47,0,1,163.22
2183,28.0,19.5,38.8,58.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1939,37.0,19.48,38.57,57.67,76.85,81.0,95.95,0.0,0.0,0.0,0,0,0.0
1850,25.0,18.55,37.15,55.97,74.78,78.88,93.63,113.15,133.07,153.75,0,1,163.53
4090,32.0,20.78,40.33,59.53,78.78,82.98,97.98,117.45,136.7,155.38,0,1,163.6
1355,32.0,19.58,38.77,58.07,77.35,81.6,96.72,116.18,135.85,0.0,0,0,0.0
4681,26.0,19.83,39.03,58.38,77.85,82.05,96.98,116.8,136.7,155.63,0,1,163.65
1615,28.0,18.98,37.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2258,30.0,19.58,38.33,57.75,77.73,81.88,97.18,116.92,136.68,155.58,0,1,164.02
518,35.0,19.13,37.57,56.85,76.2,80.33,95.37,115.48,135.93,155.38,0,1,164.08
1308,34.0,18.58,36.97,55.42,74.55,78.8,94.38,114.88,135.73,155.48,0,1,164.15
1157,21.0,19.17,38.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1820,37.0,19.83,39.3,58.77,78.37,82.6,97.8,117.48,137.07,155.92,0,1,164.27
547,28.0,19.18,38.38,57.78,77.37,81.67,96.82,116.58,136.72,156.45,0,1,164.63
2482,23.0,20.27,40.27,60.12,80.27,84.62,99.98,118.75,137.88,156.53,0,1,164.85
3933,34.0,19.63,38.67,57.55,76.62,80.77,0.0,0.0,0.0,0.0,0,0,0.0
3066,32.0,20.15,39.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2376,34.0,19.6,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
327,27.0,17.62,35.35,53.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1771,29.0,19.38,38.7,58.1,77.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2963,27.0,19.57,39.2,58.8,78.52,82.75,97.93,118.03,138.07,157.28,0,1,165.48
742,39.0,18.4,37.08,55.72,74.78,79.0,0.0,0.0,0.0,0.0,0,0,0.0
3396,27.0,19.72,38.97,58.23,77.8,82.07,97.48,117.43,137.35,157.18,0,1,165.73
2564,34.0,19.72,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3340,29.0,20.53,40.33,60.2,80.07,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5957,34.0,19.78,38.65,57.55,76.45,80.57,0.0,0.0,0.0,0.0,0,0,0.0
1961,33.0,19.9,39.37,58.73,78.03,0.0,0.0,0.0,0.0,0.0,0,0,0.0
4028,38.0,19.83,39.32,58.72,78.3,82.55,97.78,117.73,137.72,157.65,0,1,166.98
2849,30.0,19.02,37.75,56.62,77.18,81.28,96.27,117.2,137.32,156.67,0,1,167.12
2621,24.0,20.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1766,35.0,19.07,38.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2823,33.0,20.05,39.82,59.63,79.32,83.58,99.0,119.08,0.0,0.0,0,0,0.0
1592,24.0,19.98,40.03,60.12,80.27,84.6,100.05,120.22,139.93,159.28,0,1,167.38
3094,31.0,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2645,26.0,19.5,38.65,57.73,76.77,80.87,96.1,116.03,136.77,157.9,0,1,167.53
2568,36.0,19.63,39.15,58.68,78.27,82.5,97.63,117.5,137.98,158.32,0,1,167.53
2457,34.0,19.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
869,34.0,19.63,39.18,58.9,78.68,82.97,98.43,118.32,138.62,159.18,0,1,167.8
2983,25.0,19.68,38.55,57.4,78.97,83.15,98.2,117.95,0.0,0.0,0,0,0.0
2837,35.0,19.43,38.73,58.6,77.88,82.07,97.3,117.43,137.95,158.93,0,1,168.0
3402,38.0,20.55,40.13,59.7,79.47,83.7,99.17,119.35,0.0,0.0,0,0,0.0
2615,33.0,20.45,40.62,60.63,80.63,84.98,100.72,120.92,140.77,159.92,0,1,168.43
984,24.0,18.17,36.58,54.75,73.12,77.18,91.88,111.67,0.0,0.0,0,0,0.0
3511,39.0,20.25,39.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
4119,35.0,20.78,41.17,61.45,81.8,86.18,101.87,122.22,142.3,160.88,0,1,168.77
1155,38.0,20.07,39.67,59.48,79.62,83.95,99.58,119.83,140.05,160.2,0,1,168.77
3869,24.0,19.17,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3388,35.0,20.2,39.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
155,32.0,18.28,36.43,54.73,73.83,78.08,93.5,114.37,136.3,158.87,1,0,168.9
5229,28.0,19.7,39.15,58.55,78.12,82.38,97.68,117.77,138.4,159.2,0,1,169.0
4350,35.0,20.13,39.55,59.07,78.67,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1248,37.0,19.22,38.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2723,27.0,20.52,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2534,35.0,20.27,40.02,59.9,79.8,84.07,0.0,0.0,0.0,0.0,0,0,0.0
2965,27.0,20.58,40.43,60.53,80.67,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3730,34.0,20.48,39.95,59.6,79.45,83.7,99.13,119.2,139.83,160.42,0,1,169.33
1491,33.0,20.15,40.02,59.82,79.67,84.02,0.0,0.0,0.0,0.0,0,0,0.0
1803,27.0,20.12,39.95,59.73,79.62,83.92,99.55,119.97,0.0,0.0,0,0,0.0
3252,31.0,20.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1411,37.0,19.83,39.68,59.48,79.4,83.68,99.15,119.45,0.0,0.0,0,0,0.0
3317,28.0,19.85,39.35,58.7,77.95,82.12,97.37,117.87,139.0,160.08,0,1,169.63
5195,26.0,20.23,40.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3589,29.0,19.43,38.3,57.18,76.1,80.25,95.08,114.68,136.2,159.17,0,1,169.75
1099,32.0,19.68,39.0,58.33,78.03,82.3,97.95,118.7,139.72,160.9,0,1,169.78
3381,34.0,21.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2612,28.0,20.8,41.07,61.13,81.02,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2592,26.0,19.85,39.72,59.83,79.93,84.35,100.17,120.7,141.15,0.0,0,0,0.0
3537,29.0,20.58,40.67,60.68,80.77,85.17,100.73,121.28,142.2,0.0,0,0,0.0
3307,34.0,19.65,39.17,58.67,78.47,82.78,0.0,0.0,0.0,0.0,0,0,0.0
