bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
11,31.0,14.3,28.88,,,,,,,,0,1,131.83
23,31.0,15.17,30.88,,,,,,,,0,1,137.92
268,36.0,16.25,32.3,,,,,,,,0,1,141.42
102,31.0,17.8,34.77,,,,,,,,1,0,141.83
121,30.0,17.8,34.77,,,,,,,,1,0,142.17
444,30.0,16.68,33.4,,,,,,,,0,1,143.27
120,29.0,17.82,34.78,,,,,,,,1,0,144.97
325,26.0,17.55,35.17,,,,,,,,0,1,148.42
489,25.0,17.02,34.02,,,,,,,,0,1,148.48
3165,23.0,17.83,34.85,,,,,,,,0,1,149.55
118,36.0,17.83,34.8,,,,,,,,1,0,150.23
487,30.0,17.02,34.22,,,,,,,,0,1,151.05
151,29.0,17.88,35.57,,,,,,,,1,0,151.53
1332,25.0,16.85,33.55,,,,,,,,0,1,151.75
408,29.0,16.9,33.97,,,,,,,,0,1,152.0
878,33.0,18.0,35.83,,,,,,,,0,1,153.2
1298,32.0,18.0,35.8,,,,,,,,0,1,153.67
445,35.0,17.95,36.17,,,,,,,,0,1,153.7
451,33.0,18.05,36.1,,,,,,,,0,1,154.15
861,27.0,17.3,34.62,,,,,,,,0,1,154.38
149,27.0,18.28,36.42,,,,,,,,1,0,154.5
503,38.0,18.78,37.07,,,,,,,,0,1,154.82
508,35.0,18.22,36.42,,,,,,,,0,1,155.57
280,32.0,17.6,35.18,,,,,,,,0,1,155.82
526,30.0,18.53,36.78,,,,,,,,0,1,155.98
1166,29.0,18.72,37.33,,,,,,,,0,1,156.08
1042,33.0,18.98,37.38,,,,,,,,0,1,156.47
570,26.0,18.02,36.33,,,,,,,,0,1,156.83
1091,36.0,18.18,35.75,,,,,,,,0,1,157.0
853,36.0,18.38,36.63,,,,,,,,0,1,157.13
359,35.0,18.27,36.6,,,,,,,,0,1,157.85
994,32.0,18.27,36.73,,,,,,,,0,1,157.9
467,37.0,17.88,35.9,,,,,,,,0,1,157.93
1512,29.0,18.87,37.35,,,,,,,,0,1,158.03
4449,28.0,19.08,37.55,,,,,,,,0,1,158.12
894,32.0,18.4,36.5,,,,,,,,0,1,158.17
1668,29.0,18.93,37.62,,,,,,,,0,1,158.2
895,33.0,18.08,36.42,,,,,,,,0,1,158.45
249,37.0,18.92,37.28,,,,,,,,0,1,158.45
980,34.0,18.2,36.53,,,,,,,,0,1,158.52
5540,26.0,18.83,37.27,,,,,,,,0,1,158.6
2415,37.0,18.9,37.28,,,,,,,,0,1,158.63
1660,36.0,19.03,37.88,,,,,,,,0,1,158.83
667,20.0,18.43,36.72,,,,,,,,0,1,158.83
5956,32.0,19.3,37.92,,,,,,,,0,1,159.43
812,36.0,18.02,35.77,,,,,,,,0,1,159.55
747,39.0,18.13,36.43,,,,,,,,0,1,159.75
284,32.0,16.72,33.47,,,,,,,,0,1,159.88
2800,26.0,18.82,37.62,,,,,,,,0,1,159.98
847,26.0,18.82,37.62,,,,,,,,0,1,160.52
1563,38.0,19.38,38.2,,,,,,,,0,1,160.65
1131,37.0,19.25,38.48,,,,,,,,0,1,160.82
3077,27.0,19.12,37.65,,,,,,,,0,1,160.92
1714,31.0,19.48,37.67,,,,,,,,0,1,161.07
3314,39.0,19.63,38.85,,,,,,,,0,1,161.62
4382,30.0,19.98,38.47,,,,,,,,0,1,161.83
6072,34.0,20.1,38.98,,,,,,,,0,1,162.33
933,35.0,18.6,37.1,,,,,,,,0,1,162.4
2491,22.0,19.22,37.95,,,,,,,,0,1,162.43
2058,39.0,19.78,38.7,,,,,,,,0,1,162.48
3536,36.0,19.95,38.9,,,,,,,,0,1,162.53
2655,26.0,19.65,39.07,,,,,,,,0,1,162.88
3809,24.0,19.9,39.35,,,,,,,,0,1,163.07
1909,39.0,18.75,37.18,,,,,,,,0,1,163.22
2183,28.0,19.5,38.8,,,,,,,,0,1,163.23
1939,37.0,19.48,38.57,,,,,,,,0,1,163.33
1850,25.0,18.55,37.15,,,,,,,,0,1,163.53
4090,32.0,20.78,40.33,,,,,,,,0,1,163.6
1355,32.0,19.58,38.77,,,,,,,,0,1,163.63
4681,26.0,19.83,39.03,,,,,,,,0,1,163.65
1615,28.0,18.98,37.57,,,,,,,,0,1,163.78
2258,30.0,19.58,38.33,,,,,,,,0,1,164.02
518,35.0,19.13,37.57,,,,,,,,0,1,164.08
1308,34.0,18.58,36.97,,,,,,,,0,1,164.15
1157,21.0,19.17,38.27,,,,,,,,0,1,164.27
1820,37.0,19.83,39.3,,,,,,,,0,1,164.27
547,28.0,19.18,38.38,,,,,,,,0,1,164.63
2482,23.0,20.27,40.27,,,,,,,,0,1,164.85
3933,34.0,19.63,38.67,,,,,,,,0,1,164.87
3066,32.0,20.15,39.87,,,,,,,,0,1,164.92
2376,34.0,19.6,39.0,,,,,,,,0,1,165.03
327,27.0,17.62,35.35,,,,,,,,0,1,165.15
1771,29.0,19.38,38.7,,,,,,,,0,1,165.28
2963,27.0,19.57,39.2,,,,,,,,0,1,165.48
742,39.0,18.4,37.08,,,,,,,,0,1,165.52
3396,27.0,19.72,38.97,,,,,,,,0,1,165.73
2564,34.0,19.72,39.2,,,,,,,,0,1,166.05
3340,29.0,20.53,40.33,,,,,,,,0,1,166.38
5957,34.0,19.78,38.65,,,,,,,,0,1,166.85
1961,33.0,19.9,39.37,,,,,,,,0,1,166.9
4028,38.0,19.83,39.32,,,,,,,,0,1,166.98
2849,30.0,19.02,37.75,,,,,,,,0,1,167.12
2621,24.0,20.35,40.18,,,,,,,,0,1,167.17
1766,35.0,19.07,38.12,,,,,,,,0,1,167.25
2823,33.0,20.05,39.82,,,,,,,,0,1,167.32
1592,24.0,19.98,40.03,,,,,,,,0,1,167.38
3094,31.0,20.62,40.72,,,,,,,,0,1,167.38
2645,26.0,19.5,38.65,,,,,,,,0,1,167.53
2568,36.0,19.63,39.15,,,,,,,,0,1,167.53
2457,34.0,19.98,39.68,,,,,,,,0,1,167.63
869,34.0,19.63,39.18,,,,,,,,0,1,167.8
2983,25.0,19.68,38.55,,,,,,,,0,1,167.8
2837,35.0,19.43,38.73,,,,,,,,0,1,168.0
3402,38.0,20.55,40.13,,,,,,,,0,1,168.2
2615,33.0,20.45,40.62,,,,,,,,0,1,168.43
984,24.0,18.17,36.58,,,,,,,,0,1,168.52
3511,39.0,20.25,39.63,,,,,,,,0,1,168.62
4119,35.0,20.78,41.17,,,,,,,,0,1,168.77
1155,38.0,20.07,39.67,,,,,,,,0,1,168.77
3869,24.0,19.17,38.75,,,,,,,,0,1,168.8
3388,35.0,20.2,39.83,,,,,,,,0,1,168.85
155,32.0,18.28,36.43,,,,,,,,1,0,168.9
5229,28.0,19.7,39.15,,,,,,,,0,1,169.0
4350,35.0,20.13,39.55,,,,,,,,0,1,169.02
1248,37.0,19.22,38.48,,,,,,,,0,1,169.03
2723,27.0,20.52,40.83,,,,,,,,0,1,169.08
2534,35.0,20.27,40.02,,,,,,,,0,1,169.15
2965,27.0,20.58,40.43,,,,,,,,0,1,169.33
3730,34.0,20.48,39.95,,,,,,,,0,1,169.33
1491,33.0,20.15,40.02,,,,,,,,0,1,169.42
1803,27.0,20.12,39.95,,,,,,,,0,1,169.45
3252,31.0,20.82,41.07,,,,,,,,0,1,169.48
1411,37.0,19.83,39.68,,,,,,,,0,1,169.6
3317,28.0,19.85,39.35,,,,,,,,0,1,169.63
5195,26.0,20.23,40.27,,,,,,,,0,1,169.7
3589,29.0,19.43,38.3,,,,,,,,0,1,169.75
1099,32.0,19.68,39.0,,,,,,,,0,1,169.78
3381,34.0,21.27,40.75,,,,,,,,0,1,169.83
2612,28.0,20.8,41.07,,,,,,,,0,1,170.43
2592,26.0,19.85,39.72,,,,,,,,0,1,170.45
3537,29.0,20.58,40.67,,,,,,,,0,1,170.48
3307,34.0,19.65,39.17,,,,,,,,0,1,170.58
1814,27.0,19.53,38.33,,,,,,,,0,1,170.75
1817,26.0,19.8,39.8,,,,,,,,0,1,170.85
1913,27.0,19.97,39.98,,,,,,,,0,1,170.88
3401,38.0,20.42,40.48,,,,,,,,0,1,171.0
3979,32.0,19.93,39.38,,,,,,,,0,1,171.02
828,26.0,17.5,34.98,,,,,,,,0,1,171.05
2481,39.0,20.27,39.63,,,,,,,,0,1,171.08
2757,30.0,20.92,41.8,,,,,,,,0,1,171.17
3116,37.0,20.58,40.93,,,,,,,,0,1,171.37
900,36.0,18.92,38.02,,,,,,,,0,1,171.42
3431,32.0,20.55,40.83,,,,,,,,0,1,171.58
1434,31.0,19.47,38.72,,,,,,,,0,1,171.62
1415,32.0,19.78,39.3,,,,,,,,0,1,171.68
3594,34.0,20.75,40.4,,,,,,,,0,1,171.77
3508,32.0,20.98,41.18,,,,,,,,0,1,171.83
3203,34.0,20.47,40.42,,,,,,,,1,0,171.87
2718,29.0,20.23,40.05,,,,,,,,0,1,172.28
4910,28.0,20.52,40.83,,,,,,,,0,1,172.52
2797,35.0,19.67,39.03,,,,,,,,0,1,172.95
4370,28.0,20.28,40.03,,,,,,,,0,1,173.08
3429,29.0,20.42,40.82,,,,,,,,0,1,173.28
2124,33.0,20.92,41.32,,,,,,,,0,1,173.33
3201,25.0,20.85,41.73,,,,,,,,0,1,173.57
2144,38.0,21.5,42.57,,,,,,,,0,1,173.68
2989,39.0,20.47,40.18,,,,,,,,0,1,173.78
5123,32.0,20.72,41.02,,,,,,,,0,1,173.92
4531,38.0,20.48,40.68,,,,,,,,0,1,173.95
2220,26.0,20.8,41.92,,,,,,,,0,1,174.1
5238,38.0,20.37,40.32,,,,,,,,0,1,174.12
1350,27.0,18.87,37.55,,,,,,,,0,1,174.12
4917,36.0,20.25,40.27,,,,,,,,0,1,174.22
5125,30.0,20.8,41.27,,,,,,,,0,1,174.25
6290,24.0,20.98,41.72,,,,,,,,0,1,174.53
7233,27.0,20.8,41.33,,,,,,,,1,0,174.7
5109,36.0,20.72,40.95,,,,,,,,0,1,174.83
5922,28.0,21.23,42.07,,,,,,,,1,0,174.85
1750,28.0,19.67,39.45,,,,,,,,0,1,175.02
3338,30.0,19.15,38.1,,,,,,,,0,1,175.05
3705,24.0,21.12,41.73,,,,,,,,0,1,175.1
4820,29.0,20.1,40.0,,,,,,,,0,1,175.22
1017,32.0,19.43,39.37,,,,,,,,0,1,175.25
8004,36.0,19.68,40.0,,,,,,,,0,1,175.4
3465,29.0,20.78,40.97,,,,,,,,0,1,175.4
902,32.0,19.87,40.75,,,,,,,,0,1,175.57
1509,32.0,19.05,37.72,,,,,,,,0,1,175.73
2767,31.0,20.63,41.08,,,,,,,,1,0,175.78
3059,36.0,20.32,40.2,,,,,,,,0,1,176.05
4638,32.0,20.58,40.8,,,,,,,,0,1,176.07
5628,24.0,21.12,41.73,,,,,,,,0,1,176.17
4971,31.0,21.2,42.12,,,,,,,,0,1,176.23
7513,29.0,20.8,41.95,,,,,,,,0,1,176.33
3426,32.0,20.82,41.4,,,,,,,,0,1,176.37
7072,25.0,20.68,41.38,,,,,,,,1,0,176.38
4671,39.0,20.72,41.18,,,,,,,,1,0,176.45
4661,39.0,20.63,41.37,,,,,,,,0,1,176.53
25813,38.0,19.88,39.3,,,,,,,,0,1,176.57
5679,39.0,20.27,40.55,,,,,,,,0,1,176.58
3374,28.0,21.3,42.1,,,,,,,,1,0,176.67
2791,28.0,20.9,41.62,,,,,,,,0,1,176.67
11028,28.0,22.17,42.6,,,,,,,,1,0,176.7
