bib,age,20k_minutes,avg_pace_to_20k,perc_decay_15k_to_20k,finish_minutes
1,34,59.03,20.33,-0.73,125.9
3,26,59.03,20.33,-0.73,126.07
5,32,59.03,20.33,-0.73,126.1
19,29,59.03,20.33,-0.73,128.02
31,28,59.03,20.33,-0.68,128.58
2,38,59.02,20.33,-0.71,129.38
22,31,60.58,19.81,-1.11,129.73
21,33,60.6,19.8,-1.06,129.77
8,26,59.02,20.33,-0.71,130.07
24,29,60.6,19.8,-1.1,130.28
20,26,59.03,20.33,-0.77,130.42
27,29,59.03,20.33,-0.73,130.55
25,29,60.58,19.81,-1.11,130.87
7,26,61.13,19.63,-0.76,131.43
11,31,59.02,20.33,-0.71,131.83
26,30,60.6,19.8,-1.1,132.37
48,24,62.28,19.27,-0.24,133.45
45,30,62.03,19.35,-1.08,133.95
18,34,60.6,19.8,-1.14,134.13
46,34,60.6,19.8,-1.1,134.22
43,33,60.58,19.81,-1.11,134.45
12,34,59.02,20.33,-0.71,134.62
29,37,62.03,19.35,-1.08,136.1
51,27,62.65,19.15,-0.61,136.42
28,34,62.03,19.35,-1.08,137.08
23,31,62.65,19.15,-0.82,137.92
54,30,64.78,18.52,0.13,138.07
50,32,64.12,18.71,-0.56,138.38
52,31,64.98,18.47,-0.17,140.13
49,38,62.03,19.35,-1.08,140.33
62,30,65.02,18.46,-0.19,140.5
56,34,65.42,18.34,-0.19,141.1
268,36,65.13,18.42,-0.67,141.42
251,25,65.98,18.19,-0.54,141.47
122,33,67.77,17.71,-0.09,141.63
305,25,65.18,18.41,-0.64,141.67
512,24,66.53,18.04,-0.44,141.72
57,36,66.4,18.07,-0.0,141.78
102,31,67.77,17.71,-0.09,141.83
105,34,67.77,17.71,0.28,141.95
116,31,67.77,17.71,-0.09,142.0
235,30,66.93,17.93,-0.13,142.13
121,30,67.77,17.71,0.5,142.17
228,36,66.48,18.05,-0.28,142.18
230,38,66.52,18.04,-0.32,142.18
59,35,65.42,18.34,-0.17,142.67
241,37,66.9,17.94,-0.11,142.83
40,33,60.6,19.8,-1.06,142.92
58,25,63.2,18.99,0.21,143.2
231,31,66.97,17.92,-0.15,143.2
