"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"5560","Cross, Jon","65","M","Fleet","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:16","0:42:24","1:03:38","1:25:05","1:29:39","1:46:23","2:09:17","2:33:00","2:57:08","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:12","3:08:31","6049","5420","5",""
"11263","Chiu, Tien Hua","65","M","Tainan City","TWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:58","0:45:10","1:07:41","1:30:44","1:35:43","1:53:55","2:17:58","2:42:20","3:06:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:30","3:16:30","8158","6834","13",""
"16116","Cohen, Leslie","67","F","Santa Monica","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:24:32","0:48:48","1:12:55","1:37:12","1:42:31","2:01:25","2:27:12","2:52:29","3:17:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:58","3:28:56","11925","3079","2",""
"14193","Christie, Kevin","65","M","Tewksbury","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:36","0:47:24","1:10:53","1:35:11","1:40:24","1:59:31","2:25:07","2:51:23","3:17:40","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:59","3:29:06","11976","8848","36",""
"15888","Courtney, S. Mark","67","M","Grove City","PA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:41","0:47:41","1:12:00","1:37:00","1:42:25","2:01:51","2:27:13","2:54:40","3:22:31","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:08:13","3:35:07","13654","9550","53",""
"23199","Cormier, Ronald","68","M","Grande-Digue","NB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:25:07","0:50:10","1:15:39","1:41:34","1:47:19","2:07:52","2:34:38","3:02:04","3:29:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:08:26","3:41:03","15183","10147","80",""
"18558","Cella, Roberto","66","M","Vaglia","ITA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:25:27","0:50:32","1:16:15","1:42:08","1:47:47","2:08:00","2:34:34","3:02:13","3:29:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:08:28","3:41:44","15362","10219","84",""
"22870","Christo, Therese","69","F","Greece","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:26:37","0:52:48","1:18:39","1:44:55","1:50:37","2:10:44","2:40:10","3:07:06","3:32:58","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:08:33","3:44:07","15938","5454","8",""
"19721","Chau, Siu Hung","65","M","Little Neck","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:30","0:45:04","1:08:47","1:33:48","1:39:16","1:59:29","2:26:53","2:58:17","3:30:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:08:34","3:44:27","16026","10501","97",""
