"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"5","Kipruto, Benson","32","M","Kapsabet","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:17","0:28:52","0:43:57","0:59:02","1:02:19","1:14:05","1:29:24","1:44:19","1:59:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:49","2:06:06","3","3","3",""
"19","Korir, Albert","29","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:17","0:28:53","0:43:57","0:59:02","1:02:20","1:14:06","1:29:24","1:45:16","2:01:00","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:53","2:08:01","4","4","4",""
"2","Kipchoge, Eliud","38","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:17","0:28:52","0:43:57","0:59:01","1:02:19","1:14:04","1:29:23","1:45:32","2:01:55","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:56","2:09:23","6","6","6",""
"8","Korir, John","26","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:18","0:28:52","0:43:57","0:59:01","1:02:19","1:14:05","1:29:24","1:44:24","2:01:41","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:58","2:10:04","9","9","9",""
"7","Kitata, Shura","26","M","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:32","0:29:52","0:45:30","1:01:08","1:04:36","1:16:52","1:32:57","1:49:02","2:04:36","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:01","2:11:26","14","14","14",""
"12","Korir, Mark","34","M","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:17","0:28:53","0:43:57","0:59:01","1:02:20","1:14:13","1:31:10","1:49:03","2:06:46","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:08","2:14:37","22","22","22",""
"347","Kimpel, Andrew","31","M","Spokane","WA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:17","0:34:25","0:51:34","1:08:45","1:12:31","1:26:02","1:43:29","2:00:59","2:18:12","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:34","2:25:40","80","64","61",""
"380","Keogh, Luke","31","M","Houston","TX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:58","0:34:08","0:51:24","1:08:46","1:12:30","1:26:07","1:43:53","2:01:51","2:19:43","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:38","2:27:46","106","88","81",""
"274","Kinsella, John","43","M","Limerick","IRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:11","0:34:30","0:51:46","1:09:09","1:12:55","1:26:32","1:44:18","2:02:20","2:20:01","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:39","2:27:50","107","89","8",""
"571","Kovacs, Reid","24","M","Cambridge","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:01","0:33:58","0:51:02","1:08:12","1:11:55","1:25:28","1:43:06","2:00:59","2:19:15","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:39","2:28:06","111","93","84",""
"409","Kirkpatrick, Nicholas","29","M","Chicago","IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:36","0:35:31","0:53:18","1:11:04","1:14:54","1:28:43","1:46:46","2:04:59","2:22:44","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:42","166","145","128",""
"736","Kariolis, Vasili","34","M","Boxborough","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:43","0:35:22","0:53:02","1:11:01","1:14:55","1:28:54","1:47:15","2:06:13","2:24:05","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:11","217","192","171",""
"674","Kulm, Scott","28","M","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:04","0:35:57","0:54:08","1:12:12","1:16:03","1:30:04","1:48:09","2:06:23","2:24:27","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:28","226","201","180",""
"687","Keller, Antony","36","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:29","0:34:57","0:52:31","1:10:29","1:14:22","1:28:41","1:47:18","2:06:45","2:25:57","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:54","2:34:24","302","274","240",""
"711","Kadimi, Sricharan","25","M","Orange","CT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
