"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"305","Schaumberg, Matthew","25","M","Footscray","AUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:17","0:32:20","0:48:34","1:05:11","1:08:48","1:21:50","1:38:51","1:56:54","2:14:04","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:24","2:21:40","37","36","36",""
"349","Stump, Matt","24","M","Cincinnati","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:55","0:33:31","0:50:32","1:07:41","1:11:25","1:25:05","1:42:46","2:01:12","2:19:57","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:39","2:28:04","109","91","83",""
"297","Savard-Gagnon, David","41","M","Baie-St-Paul","QC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:23","0:34:41","0:52:18","1:10:01","1:13:48","1:27:33","1:45:27","2:03:20","2:21:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:42","2:29:25","133","113","13",""
"609","Schenberger, Mark","30","M","Durango","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:03","-","0:51:16","1:08:37","1:12:25","1:26:13","1:44:25","2:02:49","2:21:25","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:43","2:29:42","141","121","107",""
"309","Stone, Josh","33","M","Belmont","NC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:41","0:35:25","0:53:16","1:11:00","1:14:49","1:28:52","1:47:09","2:05:27","2:23:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:45","169","148","131",""
"243","Schwippel, Tim","27","M","Braunschweig","GER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:49","0:33:51","0:51:23","1:09:11","1:13:01","1:27:00","1:45:21","2:04:04","2:22:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","2:30:59","173","151","134",""
"1223","Syed, Aaqib","27","M","Waialua","HI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:36","0:35:14","0:52:54","1:10:50","1:14:40","1:28:32","1:46:51","2:05:09","2:23:21","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:29","187","163","144",""
"563","Solorza, Ruben","28","M","Whittier","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:39","0:35:15","0:52:54","1:10:26","1:14:11","1:27:55","1:46:08","2:04:34","2:22:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:36","193","168","147",""
"411","Scarlett, Michael","27","M","Cambridge","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:34","0:35:22","0:53:12","1:11:09","1:15:01","1:28:52","1:46:59","2:05:20","2:23:36","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:40","195","170","149",""
"561","Salvador, Xavier","26","M","Washington","DC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:36","0:35:20","0:53:10","1:11:07","1:15:00","1:28:53","1:46:49","2:05:01","2:23:18","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:42","197","172","151",""
"264","Sykes, Dylan","24","M","Grand Rapids","MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:16","0:34:43","0:52:08","1:09:27","1:13:14","1:26:53","1:45:24","2:04:19","2:23:18","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:48","2:32:09","215","190","169",""
"1140","Schroeder, Michael","28","M","Hopkinton","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:55","0:35:36","0:53:10","1:10:43","1:14:32","1:28:10","1:45:37","2:03:42","2:22:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:23","221","196","175",""
"329","Smith, Kent","31","M","Wheaton","IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:34","0:35:21","0:53:16","1:11:11","1:15:03","1:29:05","1:47:25","2:06:08","2:24:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:24","222","197","176",""
"322","Schwartz, David","33","M","Santa Monica","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:15","0:35:04","0:52:58","1:10:46","1:14:36","1:28:26","1:46:40","2:05:27","2:24:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:28","224","199","178",""
"1245","Scullion, Aiman","36","M","Akron","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:02","0:35:32","0:53:08","1:10:54","1:14:46","1:28:37","1:46:44","2:05:55","2:24:34","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:50","2:32:57","235","209","187",""
"448","Shemyakin, Mikhail","40","M","Mill Valley","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:13","0:34:57","0:52:51","1:10:41","1:14:35","1:28:29","1:46:52","2:05:49","2:24:51","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","2:33:09","244","218","20",""
"877","Smith, Joe","27","M","Boulder","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:33","0:35:03","0:52:42","1:10:50","1:14:35","1:28:16","1:46:05","2:04:26","2:24:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:52","2:33:36","259","233","207",""
"624","Steele, Zach","28","M","Oregon City","OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:45","0:35:26","0:53:16","1:11:02","1:14:53","1:28:48","1:47:07","2:05:51","2:24:56","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:53","2:33:58","275","247","221",""
"2261","Sprieser, Steven","30","M","Chicago","IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:23","0:36:14","0:54:22","1:12:41","1:16:41","1:30:56","1:49:32","2:08:18","2:26:19","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:53","2:34:06","279","251","224",""
"1354","Sanabria, Leonardo","40","M","Bogotá","COL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:12","0:35:47","0:53:40","1:11:53","1:15:47","1:29:48","1:48:00","2:06:46","2:25:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:53","2:34:09","283","255","23",""
"893","Shaffer, Will","28","M","Knoxville","TN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:01","0:35:55","0:54:05","1:12:10","1:16:05","1:30:14","1:48:20","2:06:44","2:26:06","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:53","2:34:21","297","269","236",""
"1597","Schloth, Jonathan","26","M","Lynbrook","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:27","0:36:34","0:54:51","1:13:15","1:17:14","1:31:27","1:49:56","2:08:15","2:26:13","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:54","2:34:22","298","270","237",""
"670","Schlindwein, Jacob","32","M","Pewaukee","WI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:03","0:36:05","0:54:09","1:12:18","1:16:14","1:30:25","1:48:56","2:07:45","2:26:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:54","2:34:42","314","283","248",""
"2807","Spector, Jonah","22","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:07","0:36:08","0:54:14","1:12:24","1:16:20","1:30:27","1:48:42","2:07:16","2:26:40","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:54","2:34:45","318","287","250",""
"1556","Schaefer, Samalya","39","M","Berlin","GER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:19","0:34:39","0:52:14","1:10:01","1:13:50","1:27:55","1:46:23","2:05:44","2:25:55","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:55","2:35:11","333","302","265",""
"2471","Sims, Zachary","30","M","Newnan","GA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:33","0:36:47","0:55:06","1:13:37","1:17:38","1:32:02","1:50:37","2:09:01","2:27:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:16","338","307","270",""
"476","Simard, Marc-Olivier","29","M","Quebec","QC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:25","0:35:05","0:52:56","1:11:02","1:15:01","1:29:28","1:48:45","2:08:18","2:27:10","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:25","345","314","277",""
"1176","Steinbrecher, Keith","26","M","New Market","AL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:25","0:36:27","0:54:27","1:12:37","1:16:33","1:30:39","1:49:06","2:08:26","2:27:21","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:30","356","324","287",""
"1626","Sunvold, Daniel","25","M","Monroe","IA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:21","0:36:35","0:54:54","1:13:21","1:17:19","1:31:35","1:49:57","2:08:38","2:27:47","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:58","2:36:09","392","359","319",""
"605","Stern, Jeffrey","36","M","Mill Valley","CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:18","0:36:30","0:54:44","1:12:57","1:16:57","1:31:11","1:50:08","2:09:19","2:27:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:58","2:36:14","396","363","322",""
"944","Sjogren, Jacob","27","M","Royal Oak","MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:10","0:36:18","0:54:36","1:12:53","1:16:51","1:31:05","1:49:41","2:08:52","2:27:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:59","2:36:33","411","376","334",""
"2344","Smyrnov, Nikita","23","M","Seattle","WA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:00","0:35:29","0:53:51","1:12:11","1:16:09","1:30:26","1:49:17","2:08:40","2:28:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:59","2:36:36","413","378","336",""
"1133","Styring, Collin","27","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:02","0:35:44","0:53:41","1:11:52","1:15:49","1:29:50","1:48:05","2:07:16","2:27:49","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:00","2:37:21","451","416","368",""
"770","Salvesen, Tom","33","M","Philadelphia","PA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
