bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,pace_5k_to_10k,percentage_decay_5k_to_10k,finish_minutes
11,31.0,14.3,28.88,43.95,59.02,62.33,74.08,89.38,104.55,0.0,0,1,20.58,-0.97,131.83
23,31.0,15.17,30.88,46.6,62.65,66.17,79.37,0.0,0.0,0.0,0,1,19.1,-1.75,137.92
268,36.0,16.25,32.3,48.52,65.13,68.75,81.78,0.0,0.0,0.0,0,1,18.69,0.62,141.42
102,31.0,17.8,34.77,50.78,67.77,71.5,84.67,101.82,118.6,134.73,1,0,17.68,2.39,141.83
121,30.0,17.8,34.77,51.08,67.77,71.5,84.65,101.82,0.0,0.0,1,0,17.68,2.39,142.17
444,30.0,16.68,33.4,50.08,66.88,70.5,83.63,100.72,117.9,0.0,0,1,17.94,-0.12,143.27
120,29.0,17.82,34.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,17.69,2.47,144.97
325,26.0,17.55,35.17,52.85,70.75,74.58,88.53,106.82,124.6,141.27,0,1,17.03,-0.2,148.42
489,25.0,17.02,34.02,51.28,68.65,72.43,86.15,0.0,0.0,0.0,0,1,17.65,0.06,148.48
3165,23.0,17.83,34.85,52.13,69.65,73.43,0.0,0.0,0.0,0.0,0,1,17.63,2.32,149.55
118,36.0,17.83,34.8,51.65,69.3,73.18,87.23,105.67,124.58,0.0,1,0,17.68,2.47,150.23
487,30.0,17.02,34.22,51.72,69.53,0.0,0.0,0.0,0.0,0.0,0,1,17.44,-0.53,151.05
151,29.0,17.88,35.57,53.32,71.23,75.15,89.17,107.42,125.62,143.58,1,0,16.96,0.53,151.53
1332,25.0,16.85,33.55,50.7,68.65,72.63,87.1,105.6,124.08,0.0,0,1,17.96,0.45,151.75
408,29.0,16.9,33.97,51.47,69.28,0.0,0.0,0.0,0.0,0.0,0,1,17.57,-0.5,152.0
878,33.0,18.0,35.83,53.72,71.92,75.83,89.88,108.2,126.88,0.0,0,1,16.83,0.47,153.2
1298,32.0,18.0,35.8,53.93,72.0,75.85,0.0,0.0,0.0,0.0,0,1,16.85,0.56,153.67
445,35.0,17.95,36.17,54.82,73.33,77.35,91.7,109.97,128.28,146.02,0,1,16.47,-0.75,153.7
451,33.0,18.05,36.1,54.27,72.5,76.42,90.62,0.0,0.0,0.0,0,1,16.62,0.0,154.15
861,27.0,17.3,34.62,52.22,69.92,0.0,0.0,0.0,0.0,0.0,0,1,17.32,-0.06,154.38
149,27.0,18.28,36.42,54.73,73.13,77.12,91.5,110.07,128.73,146.72,1,0,16.54,0.38,154.5
503,38.0,18.78,37.07,55.4,73.77,77.72,91.82,110.22,128.73,146.57,0,1,16.4,1.32,154.82
508,35.0,18.22,36.42,54.7,73.12,77.1,91.35,110.2,0.0,0.0,0,1,16.48,0.05,155.57
280,32.0,17.6,35.18,52.85,70.68,74.58,88.57,107.2,127.43,147.27,0,1,17.06,0.06,155.82
526,30.0,18.53,36.78,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.44,0.76,155.98
1166,29.0,18.72,37.33,55.92,74.78,78.92,93.47,111.85,130.42,0.0,0,1,16.12,0.29,156.08
1042,33.0,18.98,37.38,55.77,74.25,78.22,92.7,111.47,130.15,148.35,0,1,16.3,1.55,156.47
570,26.0,18.02,36.33,54.82,73.73,77.73,92.12,111.2,130.13,148.7,0,1,16.38,-0.8,156.83
1091,36.0,18.18,35.75,53.47,71.75,75.75,90.25,109.47,128.97,148.22,0,1,17.07,1.71,157.0
853,36.0,18.38,36.63,54.85,73.15,77.13,91.52,110.27,129.38,148.48,0,1,16.44,0.35,157.13
359,35.0,18.27,36.6,55.02,74.0,78.03,92.77,112.7,131.77,150.03,0,1,16.37,-0.16,157.85
994,32.0,18.27,36.73,55.38,74.2,78.22,92.7,111.62,130.78,149.7,0,1,16.25,-0.52,157.9
467,37.0,17.88,35.9,54.12,72.42,76.4,90.82,109.7,0.0,0.0,0,1,16.65,-0.39,157.93
1512,29.0,18.87,37.35,55.87,74.55,0.0,0.0,0.0,0.0,0.0,0,1,16.23,1.04,158.03
4449,28.0,19.08,37.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.24,1.62,158.12
894,32.0,18.4,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.57,0.82,158.17
1668,29.0,18.93,37.62,56.18,74.83,78.93,93.5,112.42,0.0,0.0,0,1,16.05,0.64,158.2
895,33.0,18.08,36.42,54.93,73.82,77.93,92.87,112.2,131.28,150.25,0,1,16.36,-0.71,158.45
249,37.0,18.92,37.28,55.65,74.1,0.0,0.0,0.0,0.0,0.0,0,1,16.34,1.5,158.45
980,34.0,18.2,36.53,55.07,74.0,78.15,92.93,112.37,131.37,150.07,0,1,16.37,-0.36,158.52
5540,26.0,18.83,37.27,55.92,75.03,79.1,93.92,112.83,131.73,150.6,0,1,16.27,1.05,158.6
2415,37.0,18.9,37.28,55.65,74.1,78.13,92.55,111.47,130.97,149.93,0,1,16.32,1.39,158.63
1660,36.0,19.03,37.88,56.83,75.7,79.75,94.28,113.13,132.25,150.9,0,1,15.92,0.48,158.83
667,20.0,18.43,36.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.4,0.38,158.83
5956,32.0,19.3,37.92,56.67,75.47,0.0,0.0,0.0,0.0,0.0,0,1,16.11,1.79,159.43
812,36.0,18.02,35.77,53.47,71.67,75.62,89.82,109.25,129.47,150.22,0,1,16.9,0.75,159.55
747,39.0,18.13,36.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.39,-0.47,159.75
284,32.0,16.72,33.47,50.15,66.93,70.57,83.73,100.82,0.0,0.0,0,1,17.91,-0.09,159.88
