"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"102","Beriso, Amane","31","F","Addis Ababa","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:48","0:34:46","0:50:47","1:07:46","1:11:30","1:24:40","1:41:49","1:58:36","2:14:44","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:25","2:21:50","40","2","2",""
"121","Bates, Emma","30","F","Medford","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:48","0:34:46","0:51:05","1:07:46","1:11:30","1:24:39","1:41:49","1:58:36","2:14:48","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:26","2:22:10","44","5","5",""
"120","Brinkman, Nienke","29","F","NED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:49","0:34:47","0:51:15","1:08:12","1:11:55","1:25:07","1:42:34","2:00:16","2:17:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:32","2:24:58","75","15","15",""
"118","Baysa, Atsede","36","F","Liteshoa","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:50","0:34:48","0:51:39","1:09:18","1:13:11","1:27:14","1:45:40","2:04:35","2:22:38","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:44","2:30:14","151","21","20",""
"151","Blaney, Anne-Marie","29","F","Rochester Hills","MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:53","0:35:34","0:53:19","1:11:14","1:15:09","1:29:10","1:47:25","2:05:37","2:23:35","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:32","188","25","24",""
