"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"113","Ngugi, Mary","34","F","Nyahururu","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:49","0:34:48","0:51:15","1:08:12","1:11:54","1:25:06","1:42:34","2:00:00","2:17:00","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:31","2:24:33","67","9","9",""
"3028","Narvaez, Paula","38","F","Mendoza","ARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:42","0:39:14","0:58:58","1:18:49","1:23:11","1:38:44","1:58:49","2:18:58","2:38:38","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:23","2:47:27","1401","66","58",""
"7227","Nay, Bethany","40","F","Wilmington","NC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:57","0:41:49","1:02:36","1:23:31","1:28:02","1:44:07","2:05:09","2:26:29","2:47:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:44","2:56:36","3082","160","20",""
"3890","Nuzzela, Mary","29","F","Brooklyn","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:09","0:40:10","1:00:21","1:20:46","1:25:15","1:41:31","2:03:01","2:25:21","2:47:00","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:45","2:56:41","3107","162","136",""
"5316","Natalini, Amy","41","F","Xenia","OH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:24","0:42:17","1:03:09","1:24:02","1:28:35","1:44:51","2:05:51","2:27:04","2:47:38","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:45","2:56:47","3135","166","21",""
"8244","Nakada, Madeleine","24","F","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:22","0:40:54","1:01:33","1:22:25","1:26:57","1:43:10","2:04:30","2:26:01","2:47:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:45","2:56:57","3176","168","140",""
"6194","Norton, Rachel","38","F","Boulder","CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:05","0:41:59","1:02:57","1:24:07","1:28:42","1:45:09","2:06:12","2:27:22","2:48:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:46","2:57:21","3288","176","145",""
